Target,Model,step,RMSE
Helix,RBF,251,0.025340
Helix,RBF,301,0.022259
Helix,RBF,351,0.020191
Helix,RBF,401,0.018846
Helix,RBF,451,0.017967
Helix,RBF,501,0.017371
Helix,RBF,551,0.016944
Helix,RBF,601,0.016621
Helix,RBF,651,0.016362
Helix,RBF,701,0.016145
Helix,RBF,751,0.015956
Helix,RBF,801,0.015787
Helix,RBF,851,0.015630
Helix,RBF,901,0.015483
Helix,RBF,951,0.015343
Helix,RBF,1001,0.015206
Helix,RBF,1051,0.015072
Helix,RBF,1101,0.014940
Helix,RBF,1151,0.014809
Helix,RBF,1201,0.014678
Helix,RBF,1251,0.014548
Helix,RBF,1301,0.014417
Helix,RBF,1351,0.014286
Helix,RBF,1401,0.014155
Helix,RBF,1451,0.014024
Helix,RBF,1501,0.013892
Helix,RBF,1551,0.013760
Helix,RBF,1601,0.013627
Helix,RBF,1651,0.013495
Helix,RBF,1701,0.013362
Helix,RBF,1751,0.013229
Helix,RBF,1801,0.013097
Helix,RBF,1851,0.012964
Helix,RBF,1901,0.012832
Helix,RBF,1951,0.012700
Helix,RBF,2000,0.012572
Helix,MLP,1,1.749287
Helix,MLP,51,0.109444
Helix,MLP,101,0.040758
Helix,MLP,151,0.027704
Helix,MLP,201,0.021727
Helix,MLP,251,0.018304
Helix,MLP,301,0.016154
Helix,MLP,351,0.014701
Helix,MLP,401,0.021137
Helix,MLP,451,0.013182
Helix,MLP,501,0.012305
Helix,MLP,551,0.011831
Helix,MLP,601,0.015145
Helix,MLP,651,0.011208
Helix,MLP,701,0.010973
Helix,MLP,751,0.010791
Helix,MLP,801,0.016463
Helix,MLP,851,0.010807
Helix,MLP,901,0.010494
Helix,MLP,951,0.010427
Helix,MLP,1001,0.026031
Helix,MLP,1051,0.011743
Helix,MLP,1101,0.010394
Helix,MLP,1151,0.013101
Helix,MLP,1201,0.010281
Helix,MLP,1251,0.016561
Helix,MLP,1301,0.010240
Helix,MLP,1351,0.010332
Helix,MLP,1401,0.026949
Helix,MLP,1451,0.012449
Helix,MLP,1501,0.012421
Helix,MLP,1551,0.044665
Helix,MLP,1601,0.011256
Helix,MLP,1651,0.009820
Helix,MLP,1701,0.010439
Helix,MLP,1751,0.010697
Helix,MLP,1801,0.018681
Helix,MLP,1851,0.010613
Helix,MLP,1901,0.009580
Helix,MLP,1951,0.010892
Helix,MLP,2000,0.016259
Trefoil,Splanifold,1,0.519702
Trefoil,Splanifold,51,0.362893
Trefoil,Splanifold,101,0.261135
Trefoil,Splanifold,151,0.185408
Trefoil,Splanifold,201,0.131180
Trefoil,Splanifold,251,0.093492
Trefoil,Splanifold,301,0.067542
Trefoil,Splanifold,351,0.049740
Trefoil,Splanifold,401,0.037474
